ID,Location,Code,"Serial No",Equipment,Qty,UoM,Remarks
1,Surat,PB-OB-BR1,LO-SU-1,"Heavy Duty Boom Neoprene HDB-N 1500 (200 Meters) with Boom Reel HSR 1717 with Canvas Cover",100,kg,
72,Digilpur,DI-NSB-BR1,,"Heavy Duty Boom Neoprene HDB-N 1000 (200 Meters) with Boom Reel HSR 1712 with Canvas Cover",1,Set,
73,Digilpur,DI-NSB-BR2,,"Heavy Duty Boom Neoprene HDB-N 1000 (200 Meters) with Boom Reel HSR 1712 with Canvas Cover",1,Set,
74,Digilpur,DI-NSB-BR3,,"Heavy Duty Boom Neoprene HDB-N 1000 (200 Meters) with Boom Reel HSR 1712 with Canvas Cover",1,Set,
75,Digilpur,DI-NSB-BR4,,"Heavy Duty Boom Neoprene HDB-N 1000 (200 Meters) with Boom Reel HSR 1712 with Canvas Cover",1,Set,
76,Digilpur,DI-NSB-BR5,,"Heavy Duty Boom Neoprene HDB-N 1000 (200 Meters) with Boom Reel HSR 1712 with Canvas Cover",1,Set,
77,Digilpur,DI-NSB-HPP1,,"Hydraulic Power Pack LPP 7 with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
78,Digilpur,DI-NSB-HPP2,,"Hydraulic Power Pack LPP 7 with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
79,Digilpur,DI-NSB-HPP3,,"Hydraulic Power Pack LPP 7 with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
80,Digilpur,DI-NSB-HPP4,,"Hydraulic Power Pack LPP 7 with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
81,Digilpur,DI-NSB-HPP5,,"Hydraulic Power Pack LPP 7 with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
82,Digilpur,DI-NSB-AB1,,"Air Blower DAB 200 CG Electric with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
83,Digilpur,DI-NSB-AB2,,"Air Blower DAB 200 CG Electric with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
84,Digilpur,DI-NSB-AB3,,"Air Blower DAB 200 CG Electric with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
85,Digilpur,DI-NSB-AB4,,"Air Blower DAB 200 CG Electric with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
86,Digilpur,DI-NSB-AB5,,"Air Blower DAB 200 CG Electric with Chalwyn Valve, Spark Arrestor & Canvas Cover for HDB-N 1000",1,Pc,
87,Digilpur,DI-NSB-HSS1,,"Hydraulic Hose Set for HDB-N 1000",1,Set,
88,Digilpur,DI-NSB-HSS2,,"Hydraulic Hose Set for HDB-N 1000",1,Set,
89,Digilpur,DI-NSB-HSS3,,"Hydraulic Hose Set for HDB-N 1000",1,Set,
90,Digilpur,DI-NSB-HSS4,,"Hydraulic Hose Set for HDB-N 1000",1,Set,
91,Digilpur,DI-NSB-HSS5,,"Hydraulic Hose Set for HDB-N 1000",1,Set,
